Haul	subdiv	Species	TotalLength	Age
37	30	ClupeaHarengus	160	4
37	30	ClupeaHarengus	160	5
37	30	ClupeaHarengus	165	3
37	30	ClupeaHarengus	165	6
37	30	ClupeaHarengus	165	4
37	30	ClupeaHarengus	170	5
37	30	ClupeaHarengus	175	4
37	30	ClupeaHarengus	175	4
37	30	ClupeaHarengus	175	8
37	30	ClupeaHarengus	175	4
37	30	ClupeaHarengus	180	6
37	30	ClupeaHarengus	180	3
37	30	ClupeaHarengus	180	4
39	30	ClupeaHarengus	70	0
39	30	ClupeaHarengus	70	0
39	30	ClupeaHarengus	70	0
39	30	ClupeaHarengus	70	0
39	30	ClupeaHarengus	70	0
39	30	ClupeaHarengus	75	0
39	30	ClupeaHarengus	75	0
39	30	ClupeaHarengus	75	0
39	30	ClupeaHarengus	75	0
39	30	ClupeaHarengus	80	0
39	30	ClupeaHarengus	90	0
39	30	ClupeaHarengus	90	0
39	30	ClupeaHarengus	95	0
39	30	ClupeaHarengus	115	0
39	30	ClupeaHarengus	120	1
39	30	ClupeaHarengus	125	1
39	30	ClupeaHarengus	125	1
39	30	ClupeaHarengus	130	1
39	30	ClupeaHarengus	130	1
39	30	ClupeaHarengus	130	1
39	30	ClupeaHarengus	130	1
39	30	ClupeaHarengus	130	1
39	30	ClupeaHarengus	135	1
39	30	ClupeaHarengus	135	1
39	30	ClupeaHarengus	135	1
39	30	ClupeaHarengus	135	2
39	30	ClupeaHarengus	135	3
39	30	ClupeaHarengus	140	1
39	30	ClupeaHarengus	140	1
39	30	ClupeaHarengus	140	1
39	30	ClupeaHarengus	140	2
39	30	ClupeaHarengus	140	2
39	30	ClupeaHarengus	145	2
39	30	ClupeaHarengus	145	2
39	30	ClupeaHarengus	145	1
39	30	ClupeaHarengus	145	2
39	30	ClupeaHarengus	145	2
39	30	ClupeaHarengus	150	3
39	30	ClupeaHarengus	150	2
39	30	ClupeaHarengus	150	3
39	30	ClupeaHarengus	150	2
39	30	ClupeaHarengus	150	2
39	30	ClupeaHarengus	155	3
39	30	ClupeaHarengus	155	3
39	30	ClupeaHarengus	155	3
39	30	ClupeaHarengus	155	3
39	30	ClupeaHarengus	155	4
39	30	ClupeaHarengus	160	3
39	30	ClupeaHarengus	160	5
39	30	ClupeaHarengus	160	3
39	30	ClupeaHarengus	160	7
39	30	ClupeaHarengus	160	4
39	30	ClupeaHarengus	165	4
39	30	ClupeaHarengus	165	6
39	30	ClupeaHarengus	165	3
39	30	ClupeaHarengus	165	4
39	30	ClupeaHarengus	165	7
39	30	ClupeaHarengus	170	8
39	30	ClupeaHarengus	170	4
39	30	ClupeaHarengus	170	5
39	30	ClupeaHarengus	170	5
39	30	ClupeaHarengus	170	7
39	30	ClupeaHarengus	175	5
39	30	ClupeaHarengus	175	8
39	30	ClupeaHarengus	175	8
39	30	ClupeaHarengus	175	8
39	30	ClupeaHarengus	175	6
39	30	ClupeaHarengus	180	5
39	30	ClupeaHarengus	180	6
39	30	ClupeaHarengus	180	8
39	30	ClupeaHarengus	180	8
39	30	ClupeaHarengus	180	8
39	30	ClupeaHarengus	185	7
39	30	ClupeaHarengus	185	8
39	30	ClupeaHarengus	185	8
39	30	ClupeaHarengus	185	8
39	30	ClupeaHarengus	185	8
39	30	ClupeaHarengus	190	8
39	30	ClupeaHarengus	190	8
39	30	ClupeaHarengus	190	8
39	30	ClupeaHarengus	190	8
39	30	ClupeaHarengus	190	8
39	30	ClupeaHarengus	195	8
39	30	ClupeaHarengus	195	6
39	30	ClupeaHarengus	195	8
39	30	ClupeaHarengus	195	8
39	30	ClupeaHarengus	195	8
39	30	ClupeaHarengus	200	8
39	30	ClupeaHarengus	200	8
39	30	ClupeaHarengus	200	7
39	30	ClupeaHarengus	200	8
39	30	ClupeaHarengus	205	8
39	30	ClupeaHarengus	205	8
39	30	ClupeaHarengus	205	8
39	30	ClupeaHarengus	205	8
39	30	ClupeaHarengus	205	8
39	30	ClupeaHarengus	210	8
39	30	ClupeaHarengus	210	8
39	30	ClupeaHarengus	210	8
39	30	ClupeaHarengus	220	8
39	30	ClupeaHarengus	230	8
41	30	ClupeaHarengus	125	1
41	30	ClupeaHarengus	130	1
41	30	ClupeaHarengus	130	1
41	30	ClupeaHarengus	135	1
41	30	ClupeaHarengus	135	1
41	30	ClupeaHarengus	135	1
41	30	ClupeaHarengus	135	1
41	30	ClupeaHarengus	135	2
41	30	ClupeaHarengus	140	1
41	30	ClupeaHarengus	140	2
41	30	ClupeaHarengus	140	1
41	30	ClupeaHarengus	140	1
41	30	ClupeaHarengus	140	1
41	30	ClupeaHarengus	145	2
41	30	ClupeaHarengus	145	2
41	30	ClupeaHarengus	145	2
41	30	ClupeaHarengus	145	2
41	30	ClupeaHarengus	145	4
41	30	ClupeaHarengus	150	2
41	30	ClupeaHarengus	150	3
41	30	ClupeaHarengus	150	3
41	30	ClupeaHarengus	150	3
41	30	ClupeaHarengus	150	3
41	30	ClupeaHarengus	155	2
